probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2a00:1450:400e:808::2004,ams16s31-in-x04.1e100.net,6,16, 1212.19133333,1174.48
12833,138.36.65.27,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,21, 2279.00633333,2272.218
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2a03:2880:f106:83:face:b00c:0:25de,edge-star-mini6-shv-01-amt2.facebook.com,6,18, 1404.14233333,1399.011
12833,138.36.65.27,,103.235.46.39,,4,18, 2799.88133333,2798.62
12833,138.36.65.27,,91.198.174.192,text-lb.esams.wikimedia.org,4,20, 2111.20333333,2109.337
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2620:0:862:ed1a::1,text-lb.esams.wikimedia.org,6,22, 1983.66166667,1977.948
12833,138.36.65.27,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,13, 1046.792,1046.78
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2a00:1288:110:2::3007,media-router-fp1.prod.media.vip.ir2.yahoo.com,6,19, 1620.793,1606.1
12833,138.36.65.27,,151.101.37.140,,4,18, 1597.256,1597.463
12833,138.36.65.27,,104.244.42.129,,4,9, 199.118,199.191
12833,138.36.65.27,,95.213.11.181,srv181-11-213-95.vk.com,4,25, 2860.64466667,2670.271
12833,138.36.65.27,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,22, 1805.846,1805.929
12833,138.36.65.27,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,15, 1646.91066667,1645.511
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2a03:2880:f206:c4:face:b00c:0:43fe,instagram-p36-shv-01-amt2.fbcdn.net,6,18, 1451.979,1447.147
12833,138.36.65.27,,175.100.207.206,,4,13, 1572.75666667,1572.652
12833,138.36.65.27,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,13, 686.368333333,685.933
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2a02:26f0:7b:48a::102d,g2a02-26f0-007b-048a-0000-0000-0000-102d.deploy.static.akamaitechnologies.com,6,19, 1495.34333333,1491.092
12833,138.36.65.27,,91.225.248.129,,4,12, 667.619666667,667.486
12833,2801:1a0:5:70:a2f3:c1ff:fec4:3b52,,2620:109:c007:102::5be1:f881,,6,15, 1327.55466667,1326.44
12833,138.36.65.27,,54.171.226.127,ec2-54-171-226-127.eu-west-1.compute.amazonaws.com,4,255, 1325.37166667,1305.911
