probeID, clientIP, clientName, serverIP, serverName, IPvX, Number of Hops, Average, Median, tunnel avg, tunnel med, tunnel hops
30001,190.216.251.15,251.216.190.in-addr.arpa,54.154.88.90,ec2-54-154-88-90.eu-west-1.compute.amazonaws.com,4,255, 224.460666667,224.154
23697,27.109.5.2,,172.217.19.196,ams16s31-in-f4.1e100.net,4,19, 3143.36633333,3153.595
23697,27.109.5.2,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,19, 2755.229,2745.808
23697,27.109.5.2,,103.235.46.39,,4,16, 1847.887,1852.652
23697,27.109.5.2,,91.198.174.192,text-lb.esams.wikimedia.org,4,17, 1896.11433333,1825.967
23697,27.109.5.2,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,16, 1595.87733333,1586.927
23697,27.109.5.2,,151.101.37.140,,4,15, 1113.20633333,1104.27
23697,27.109.5.2,,52.85.75.143,server-52-85-75-143.lhr3.r.cloudfront.net,4,27, 3483.12366667,3509.655
23697,27.109.5.2,,104.244.42.129,,4,12, 987.861333333,1013.955
23697,27.109.5.2,,95.213.11.181,srv181-11-213-95.vk.com,4,18, 1865.789,1861.841
23697,27.109.5.2,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,21, 1149.20166667,1134.983
23697,27.109.5.2,,31.13.64.52,instagram-p3-shv-01-amt2.fbcdn.net,4,21, 2740.877,2738.934
23697,27.109.5.2,,175.100.207.206,,4,19, 2008.551,1993.829
23697,27.109.5.2,,184.27.32.215,a184-27-32-215.deploy.static.akamaitechnologies.com,4,16, 1408.46933333,1395.867
23697,27.109.5.2,,185.63.144.1,,4,16, 2139.87466667,2141.19
13805,196.35.211.26,,172.217.20.68,ams15s33-in-f4.1e100.net,4,12, 1631.09733333,1630.83
13805,196.35.211.26,,31.13.64.35,edge-star-mini-shv-01-amt2.facebook.com,4,14, 2575.333,2573.805
13805,196.35.211.26,,103.235.46.39,,4,14, 2689.16533333,2685.582
13805,196.35.211.26,,91.198.174.192,text-lb.esams.wikimedia.org,4,12, 2128.26666667,2125.442
13805,196.35.211.26,,188.125.80.145,media-router-fp2.prod.media.vip.ir2.yahoo.com,4,11, 1987.11366667,1887.353
13805,196.35.211.26,,151.101.37.140,,4,10, 1137.95233333,1136.382
13805,196.35.211.26,,104.123.111.164,a104-123-111-164.deploy.static.akamaitechnologies.com,4,12, 2224.38466667,2089.299
13805,196.35.211.26,,104.244.42.1,,4,8, 1018.39666667,877.673
13805,196.35.211.26,,95.213.11.181,srv181-11-213-95.vk.com,4,11, 1817.76266667,1815.858
13805,196.35.211.26,,157.56.198.220,origin.du131w.dub131.mail.live.com,4,17, 1429.11233333,1425.986
